ZCTA5_FIPS,ZCTA5_population,SDI_score,PovertyLT100_FPL_score,Single_Parent_Fam_score,Education_LT12years_score,HHNo_Vehicle_score,HHRenter_Occupied_score,HHCrowding_score,Nonemployed_score,sdi,pct_Poverty_LT100,pct_Single_Parent_Fam,pct_Education_LT12years,pct_NonEmployed,pctHH_No_Vehicle,pctHH_Renter_Occupied,pctHH_Crowding
80645,4996,44,34,55,77,8,36,42,50,-0.20529906,0.084718607,0.13327949,0.16683023,0.28315756,0.016331658,0.27449748,0.018216081
80648,1495,20,29,10,51,6,4,79,59,-0.96804583,0.07692308,0.060606062,0.099074073,0.29822835,0.014084507,0.10261569,0.048289739
80649,358,25,29,36,14,5,68,13,44,-0.76276153,0.075418994,0.10416666,0.041009463,0.27205881,0.012903226,0.41290322,0.006451613
80650,1508,18,14,13,78,2,4,65,40,-1.0110312,0.052387267,0.066210046,0.17156398,0.26570547,0.005309735,0.099115044,0.031858407
80651,4284,27,42,47,52,3,14,37,41,-0.7146135,0.10037348,0.12126538,0.10131269,0.26683843,0.008005337,0.17611741,0.016010674
80652,584,39,63,1,56,1,18,89,77,-0.33285245,0.14383562,0,0.10840108,0.34552845,0,0.2,0.079999998
80653,774,42,69,76,38,2,28,35,9,-0.26180214,0.16149871,0.17479675,0.07678245,0.20168068,0.006079027,0.24012157,0.015197569
80654,2668,35,32,5,61,2,37,80,39,-0.45302239,0.08133433,0.047353759,0.12164383,0.26335877,0.006042296,0.27895266,0.051359516
80701,15858,68,34,85,92,65,64,82,33,0.51763856,0.084486291,0.20350963,0.25306287,0.25308579,0.071198508,0.39023563,0.055433124
80705,1276,71,49,52,97,23,74,89,84,0.59459621,0.11363637,0.12874252,0.33757961,0.37070063,0.030769231,0.44835165,0.079120882
80720,2725,50,55,75,36,61,53,55,79,-0.010051673,0.12427746,0.17335059,0.074959263,0.35227945,0.066359445,0.34009215,0.024884792
80721,264,3,24,1,1,1,18,1,92,-1.6656302,0.06818182,0,0,0.41145834,0,0.19791667,0
80722,419,25,29,33,32,1,40,1,54,-0.77356535,0.076372318,0.099236645,0.068656713,0.28896105,0,0.28735632,0
80723,7180,62,74,69,76,36,51,18,50,0.33946759,0.17478511,0.15899999,0.16068776,0.28346831,0.041624021,0.33162743,0.008529512
80726,541,55,60,90,53,23,46,1,98,0.14349505,0.13619404,0.22962964,0.10326087,0.48876405,0.030456852,0.30964467,0
80727,552,55,55,33,61,7,89,83,1,0.14331463,0.125,0.1,0.12140575,0.14040114,0.014760148,0.58302581,0.059040591
80728,1060,16,41,24,21,23,14,10,55,-1.1122174,0.097169809,0.085409254,0.051880676,0.29264477,0.0302267,0.17884131,0.005037783
80729,682,44,71,1,48,1,53,93,31,-0.20577247,0.16593245,0,0.094936706,0.24870466,0,0.34,0.1
80731,1233,14,34,3,21,12,11,19,19,-1.1889377,0.085335545,0.033898305,0.052631579,0.22812052,0.020599252,0.16292135,0.009363296
80733,496,34,35,20,55,53,43,41,16,-0.50206888,0.086065575,0.078787878,0.10773481,0.22123894,0.057268724,0.29955947,0.017621145
80734,3044,32,13,8,72,24,54,85,30,-0.55273205,0.049498327,0.055944055,0.1492915,0.24722838,0.031516183,0.34582624,0.063032366
80735,421,36,68,1,11,6,63,91,38,-0.43750486,0.1567696,0,0.036144577,0.26249999,0.013793103,0.3862069,0.089655176
80736,524,51,88,1,27,66,13,91,53,0.010525608,0.23473282,0.006578947,0.061170213,0.28818443,0.072164945,0.17525773,0.087628864
80737,1679,73,76,71,68,46,52,69,66,0.68491352,0.18214937,0.16372795,0.13957597,0.31506848,0.050670642,0.33532041,0.035767511
80740,103,13,3,1,42,1,66,1,5,-1.2131222,0.029126214,0,0.08421053,0.1875,0,0.40350878,0
80741,897,12,22,28,20,26,27,1,15,-1.2426124,0.065022424,0.091254756,0.050167225,0.21951219,0.032967035,0.23901099,0
80742,207,20,24,4,21,24,57,1,7,-0.95011854,0.067632847,0.040816326,0.052287582,0.19685039,0.031578947,0.35789475,0
80743,1137,56,60,55,42,40,54,86,25,0.17274374,0.13612099,0.13390313,0.083544306,0.23905724,0.045081966,0.3442623,0.065573767
80744,410,51,85,36,68,21,7,24,70,0.014605826,0.21707317,0.10377359,0.13953489,0.32499999,0.028248588,0.13559322,0.011299435
80745,243,15,35,48,22,1,18,1,20,-1.1420755,0.086419754,0.12307692,0.053475935,0.23030303,0,0.2,0
80746,75,50,97,82,1,1,61,1,97,-0.012704275,0.33333334,0.19047619,0,0.4848485,0,0.375,0
